price,min_price,max_price,brand,model,registration_year,mileage_km,condition,bike_type,engine_capacity,origin,age,brand_grouped,model_grouped,segment,log_price,brand_meanprice,mileage_bin,age_bin,price_bin,price_hat,resid,resid_median,resid_std,resid_z,flag_resid,p10,p90,flag_minmax,flag_p10p90,flag_mileage_low,flag_mileage_high,flag_br,if_score,flag_if,kmeans_cluster,flag_kmeans,lof_score,flag_lof,flag_unsup,score_resid,score_minmax,score_p10p90,score_unsup,score_model_based,score_business_based,final_score,is_outlier
21500000.0,19980000.0,23460000.0,Honda,Air Blade,2016.0,857000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.0,Honda,Air Blade,Honda_Air Blade,16.88356353960952,16.775024719703897,120k+ km,8-12 năm,20 - 30tr,19047235.427395925,2452764.572604075,341777.70782419294,138815284.66934898,0.01520716446901468,0,8000000.0,38955555.2,0,0,0,1,1,0.6354167554479401,1,2,1,1.01944954540306,0,1,0,0,0,1,20.0,100,120.0,True
8000000.0,36710000.0,43100000.0,Honda,Air Blade,2023.0,4,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,2.0,Honda,Air Blade,Honda_Air Blade,15.894952224644102,16.775024719703897,0-5k km,0-2 năm,0 - 10tr,15873195.915340392,-7873195.915340392,341777.70782419294,138815284.66934898,-0.0591791721115743,0,8000000.0,38955555.2,1,0,1,0,1,0.3846649490467429,0,0,0,1.455365146454056,1,0,0,1,0,0,20.0,100,120.0,True
3800000.0,55200000.0,64800000.0,Kawasaki,Dòng khác,2009.0,123,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,16.0,Kawasaki,Dòng khác,Kawasaki_Dòng khác,15.150511887854474,17.032385958189387,0-5k km,12-20 năm,0 - 10tr,6564328.751820384,-2764328.7518203836,811599.7001767084,28624255.872704517,-0.12492651225239436,0,2530000.0,144833333.3,1,0,1,0,1,0.37870016266537776,0,1,0,1.2479675405432318,1,0,0,1,0,0,20.0,100,120.0,True
50500000.0,13940000.0,16370000.000000002,Honda,Future,2001.0,16000,Đã sử dụng,Xe số,100 - 175 cc,Nước khác,24.0,Honda,Future,Honda_Future,17.73748391404757,16.775024719703897,15k-30k km,20+ năm,50 - 100tr,16837393.783108145,33662606.216891855,835160.2218154725,9392836.612413367,3.494944855283902,1,8350000.0,36000000.0,1,1,0,0,0,0.6011334152790712,1,3,1,1.087916649858246,0,1,1,1,1,1,100.0,0,100.0,True
5500000.0,6820000.0,8010000.0,Honda,Wave,2008.0,100,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,17.0,Honda,Wave,Honda_Wave,15.520258832020865,16.775024719703897,0-5k km,12-20 năm,0 - 10tr,7092342.777201018,-1592342.7772010183,417761.5356076211,6638665.377960899,-0.3027874125847345,0,3800000.0,19800000.00000001,1,0,1,0,1,0.3979343536254486,0,1,0,1.005047144714079,0,0,0,1,0,0,20.0,100,120.0,True
10000000.0,6680000.0,7840000.0,Honda,Lead,2010.0,39,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,15.0,Honda,Lead,Honda_Lead,16.118095750958314,16.775024719703897,0-5k km,12-20 năm,0 - 10tr,8022847.835583564,1977152.164416436,552406.851125834,5154979.355382148,0.27638235094056607,0,6830000.0,37940000.0,1,0,1,0,1,0.3826938329350539,0,1,0,1.0429721753080394,0,0,0,1,0,0,20.0,100,120.0,True
8000000.0,8230000.0,9660000.0,Honda,Cub,1997.0,0,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,28.0,Honda,Cub,Honda_Cub,15.894952224644102,16.775024719703897,0-5k km,20+ năm,0 - 10tr,11047809.333063276,-3047809.3330632765,157573.99534630962,15502238.86647139,-0.2067690580708484,0,3320000.0000000005,27850000.000000007,1,0,1,0,1,0.48126260675572324,1,1,0,1.0229319699467934,0,0,0,1,0,0,20.0,100,120.0,True
23900000.0,19980000.0,23460000.0,Honda,Air Blade,2016.0,39,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,9.0,Honda,Air Blade,Honda_Air Blade,16.98938905874274,16.775024719703897,0-5k km,8-12 năm,20 - 30tr,23784081.874995463,115918.1250045374,341777.70782419294,138815284.66934898,-0.0016270512527323032,0,8000000.0,38955555.2,1,0,1,0,1,0.36499454710297197,0,0,0,1.1018181455884188,0,0,0,1,0,0,20.0,100,120.0,True
1800000.0,6890000.0,8080000.0,SYM,Shark,2010.0,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,15.0,SYM,Dòng khác,SYM_Dòng khác,14.403297778421795,15.397706176213086,15k-30k km,12-20 năm,0 - 10tr,5568880.0357923815,-3768880.0357923815,-8656.65824928158,2237553.0334502864,-1.6805069293686723,0,2230000.0,12000000.0,1,1,0,0,0,0.4979446856172034,1,1,0,1.2777024268889114,1,1,0,1,1,1,60.00000000000001,0,60.00000000000001,True
23000000.0,15650000.0,18380000.0,Piaggio,Primavera,2014.0,400000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,11.0,Piaggio,Dòng khác,Piaggio_Dòng khác,16.951004817371683,16.844081087123822,120k+ km,8-12 năm,20 - 30tr,16973006.23211454,6026993.767885461,691884.5750413612,5507563.872627034,0.9686876659497231,0,6000000.0,55500000.0,1,0,0,1,1,0.5770041712880108,1,2,1,1.5105468394820796,1,1,0,1,0,1,40.0,100,140.0,True
